,Word,TfIdfScore
3242,product,39569.12439397943
2064,install,3562.953524688407
209,assemble,3207.175459554329
584,buy,2007.9821702961353
3466,quality,1614.8476422269714
3931,service,1506.5076247493332
4378,supportive,1135.4168776243273
1700,good,727.8448913741008
4706,value,679.8167417104025
873,cost,600.6675494970498
1884,helpfull,506.9050555408769
1543,fitness,444.88401778263585
3620,recommend,397.6977104668392
3863,seat,390.0027811391436
3221,problem,357.79851717115184
1427,experience,325.09368128894334
4460,thank,270.7568370581603
557,build,265.29214139166027
2654,need,252.48205395393182
3423,provide,239.3374230921595
